product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
Yerba,,,3.000,2023-03-21,2023-W12,2023-03,2023-01,2023,10,30.000,-0.600,0.000,29.400,2.360,31.760,0.000
Yerba,,,3.000,2023-05-24,2023-W21,2023-05,2023-04,2023,8,24.000,0.000,0.000,24.000,1.920,25.920,0.000
Yerba,,,3.000,2023-02-26,2023-W08,2023-02,2023-01,2023,8,24.000,0.000,0.000,24.000,1.920,25.920,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-16,2024-W11,2024-03,2024-01,2024,8,80.000,0.000,0.000,80.000,0.000,80.000,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2024-03-03,2024-W09,2024-03,2024-01,2024,8,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Embroidered Shop Crewneck,Town and Country Skateboards,,50.000,2023-08-27,2023-W34,2023-08,2023-07,2023,7,350.000,-350.000,0.000,0.000,0.000,0.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-05-05,2024-W18,2024-05,2024-04,2024,7,70.000,0.000,0.000,70.000,0.000,70.000,0.000
Yerba,,,3.000,2023-02-16,2023-W07,2023-02,2023-01,2023,7,21.000,0.000,0.000,21.000,1.680,22.680,0.000
DICKIES SKATEBOARDING SLIM STRAIGHT PANT -- DESERT KHAKI,Town and Country Skateboards,,39.990,2023-08-27,2023-W34,2023-08,2023-07,2023,7,279.930,-279.930,0.000,0.000,0.000,0.000,129.500
SKATE SESSION,Town and Country Skateboards,,5.000,2023-02-10,2023-W06,2023-02,2023-01,2023,7,35.000,0.000,0.000,35.000,0.000,35.000,0.000
Yerba,,,3.000,2023-08-08,2023-W32,2023-08,2023-07,2023,7,21.000,0.000,0.000,21.000,1.680,22.680,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-09-13,2024-W37,2024-09,2024-07,2024,6,21.000,0.000,0.000,21.000,1.680,22.680,13.500
Ld,,,2.000,2023-04-26,2023-W17,2023-04,2023-04,2023,6,12.000,0.000,0.000,12.000,0.960,12.960,0.000
Yerba,,,3.000,2023-07-20,2023-W29,2023-07,2023-07,2023,6,18.000,0.000,0.000,18.000,1.440,19.440,0.000
Yerba,,,3.000,2023-08-18,2023-W33,2023-08,2023-07,2023,6,18.000,0.000,0.000,18.000,1.440,19.440,0.000
Yerba,,,3.000,2023-04-25,2023-W17,2023-04,2023-04,2023,6,18.000,0.000,0.000,18.000,1.440,19.440,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-05,2025-W01,2025-01,2025-01,2025,6,60.000,0.000,0.000,60.000,0.000,60.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2025-01-12,2025-W02,2025-01,2025-01,2025,6,21.000,0.000,0.000,21.000,1.680,22.680,13.500
Yerba,,,3.000,2023-07-25,2023-W30,2023-07,2023-07,2023,6,18.000,0.000,0.000,18.000,1.440,19.440,0.000
