day,billing_city,billing_postal_code,product_price,product_title,product_id,shipping_city,orders,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales,gross_profit,gross_margin,total_cost,net_quantity
2023-01-29,,,15.000,PRIME8 SKATE TOOL,7962572751100,,1,15.000,0.000,0.000,15.000,0.000,0.000,0.000,1.200,16.200,7.500,0.5,7.500,1
2023-01-29,,,3.000,Yerba,0,,1,3.000,0.000,0.000,3.000,0.000,0.000,0.000,0.240,3.240,0.000,0,0.000,1
2023-01-29,,,56.000,INDEPENDENT FORGED HOLLOW TRUCK,6697280700574,,1,56.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,56.000,15.000,0.26785,41.000,1
2023-01-29,,,39.000,SPITFIRE FORMULA FOUR CLASSIC 52MM 99D (Set of 4),6695091011742,,1,39.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,39.000,14.000,0.35897,25.000,1
2023-01-29,,,3.500,SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,7962575044860,,1,3.500,0.000,0.000,3.500,0.000,0.000,0.000,0.280,3.780,1.750,0.5,1.750,1
2023-01-29,,,5.000,SKATE SESSION,7646344610044,,3,15.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,15.000,0.000,0,0.000,3
2023-01-29,,,1.000,WATER,7606274097404,,1,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.080,1.080,0.000,0,0.000,1
2023-01-29,,,5.000,Genuine Parts 1/8 in Shock Pads Pk/2 Independent,7678155423996,,1,5.000,0.000,0.000,5.000,0.000,0.000,0.000,0.400,5.400,3.120,0.624,1.880,1
2023-01-29,,,79.000,NEW BALANCE NUMERIC 440 LOW,7989039628540,,1,79.000,-20.000,0.000,59.000,0.000,0.000,0.000,4.720,63.720,19.000,0.32203,40.000,1
2023-01-29,,,70.000,Tiago sz 11 brown,0,,1,70.000,0.000,0.000,70.000,0.000,0.000,0.000,5.600,75.600,0.000,0,0.000,1
2023-01-30,,,55.000,Nimbus absolute drunk 8.5,0,,1,55.000,-16.500,0.000,38.500,0.000,0.000,0.000,3.080,41.580,0.000,0,0.000,1
2023-01-31,,,3.000,Yerba,0,,1,3.000,0.000,0.000,3.000,0.000,0.000,0.000,0.240,3.240,0.000,0,0.000,1
2023-02-01,,,35.000,OJ WINKOWSKI TROPICS MINI COMBO WHEELS 53MM 99A,7981477658876,,1,35.000,0.000,0.000,35.000,0.000,0.000,0.000,2.800,37.800,14.000,0.4,21.000,1
2023-02-01,,,55.000,Nimbus gonz 8.7,0,,1,55.000,0.000,0.000,55.000,0.000,0.000,0.000,4.400,59.400,0.000,0,0.000,1
